timestamp,zone_temp_c,heating_setpoint_c,cooling_setpoint_c,supply_air_temp_c,supply_duct_static_pressure_pa,supply_airflow_m3_s
5880,21.0346,18.0,28.0,16.0,200.0,0.047812
5940,21.03,18.0,28.0,16.0,200.0,0.038564
6000,21.0255,18.0,28.0,16.0,200.0,0.046372
6060,21.021,18.0,28.0,16.0,200.0,0.04046
6120,21.0166,18.0,28.0,16.0,200.0,0.037935
6180,21.0121,18.0,28.0,16.0,200.0,0.035486
6240,21.0077,18.0,28.0,16.0,200.0,0.039396
6300,21.0034,18.0,28.0,16.0,200.0,0.045693
6360,20.999,18.0,28.0,16.0,200.0,0.043265
6420,20.9947,18.0,28.0,16.0,200.0,0.042756
6480,20.9904,18.0,28.0,16.0,200.0,0.030497
6540,20.9861,18.0,28.0,16.0,200.0,0.042844
6600,20.9819,18.0,28.0,16.0,200.0,0.042223
6660,20.9777,18.0,28.0,16.0,200.0,0.0378
6720,20.9735,18.0,28.0,16.0,200.0,0.03749
6780,20.9694,18.0,28.0,16.0,200.0,0.039991
6840,20.9652,18.0,28.0,16.0,200.0,0.0469
6900,20.9612,18.0,28.0,16.0,200.0,0.03578
6960,20.9571,18.0,28.0,16.0,200.0,0.038289
7020,20.9531,18.0,28.0,16.0,200.0,0.045447
7080,20.9491,18.0,28.0,16.0,200.0,0.038215
7140,20.9451,18.0,28.0,16.0,200.0,0.038543
7200,20.9412,18.0,28.0,16.0,200.0,0.040391
7260,20.9372,18.0,28.0,16.0,200.0,0.035035
7320,20.9334,18.0,28.0,16.0,200.0,0.04088
7380,20.9295,18.0,28.0,16.0,200.0,0.035162
7440,20.9257,18.0,28.0,16.0,200.0,0.043541
7500,20.9219,18.0,28.0,16.0,200.0,0.040013
7560,20.9181,18.0,28.0,16.0,200.0,0.049134
7620,20.9144,18.0,28.0,16.0,200.0,0.041123
7680,20.9107,18.0,28.0,16.0,200.0,0.045463
7740,20.907,18.0,28.0,16.0,200.0,0.034787
7800,20.9034,18.0,28.0,16.0,200.0,0.039511
7860,20.8998,18.0,28.0,16.0,200.0,0.041293
7920,20.8962,18.0,28.0,16.0,200.0,0.046983
7980,20.8926,18.0,28.0,16.0,200.0,0.033276
8040,20.8891,18.0,28.0,16.0,200.0,0.043962
8100,20.8856,18.0,28.0,16.0,200.0,0.042365
8160,20.8822,18.0,28.0,16.0,200.0,0.046134
8220,20.8787,18.0,28.0,16.0,200.0,0.04285
8280,20.8753,18.0,28.0,16.0,200.0,0.040208
8340,20.872,18.0,28.0,16.0,200.0,0.037913
8400,20.8686,18.0,28.0,16.0,200.0,0.035007
8460,20.8653,18.0,28.0,16.0,200.0,0.040782
8520,20.8621,18.0,28.0,16.0,200.0,0.039233
8580,20.8588,18.0,28.0,16.0,200.0,0.048081
8640,20.8556,18.0,28.0,16.0,200.0,0.037556
8700,20.8524,18.0,28.0,16.0,200.0,0.041282
8760,20.8493,18.0,28.0,16.0,200.0,0.033724
8820,20.8462,18.0,28.0,16.0,200.0,0.038418
8880,20.8431,18.0,28.0,16.0,200.0,0.041045
8940,20.84,18.0,28.0,16.0,200.0,0.043296
9000,20.837,18.0,28.0,16.0,200.0,0.045792
9060,20.834,18.0,28.0,16.0,200.0,0.039823
9120,20.8311,18.0,28.0,16.0,200.0,0.035531
9180,20.8281,18.0,28.0,16.0,200.0,0.041831
9240,20.8252,18.0,28.0,16.0,200.0,0.042068
9300,20.8224,18.0,28.0,16.0,200.0,0.041967
9360,20.8196,18.0,28.0,16.0,200.0,0.037199
9420,20.8168,18.0,28.0,16.0,200.0,0.044534
9480,20.814,18.0,28.0,16.0,200.0,0.040352
9540,20.8113,18.0,28.0,16.0,200.0,0.042799
9600,20.8086,18.0,28.0,16.0,200.0,0.045096
9660,20.8059,18.0,28.0,16.0,200.0,0.042437
9720,20.8032,18.0,28.0,16.0,200.0,0.041146
9780,20.8006,18.0,28.0,16.0,200.0,0.048611
9840,20.7981,18.0,28.0,16.0,200.0,0.040975
9900,20.7955,18.0,28.0,16.0,200.0,0.038816
9960,20.793,18.0,28.0,16.0,200.0,0.040448
10020,20.7905,18.0,28.0,16.0,200.0,0.045931
10080,20.7881,18.0,28.0,16.0,200.0,0.040475
10140,20.7857,18.0,28.0,16.0,200.0,0.042078
10200,20.7833,18.0,28.0,16.0,200.0,0.044783
10260,20.781,18.0,28.0,16.0,200.0,0.037949
10320,20.7787,18.0,28.0,16.0,200.0,0.033094
10380,20.7764,18.0,28.0,16.0,200.0,0.041198
10440,20.7741,18.0,28.0,16.0,200.0,0.040919
10500,20.7719,18.0,28.0,16.0,200.0,0.037568
10560,20.7697,18.0,28.0,16.0,200.0,0.043484
10620,20.7676,18.0,28.0,16.0,200.0,0.04243
10680,20.7655,18.0,28.0,16.0,200.0,0.03602
10740,20.7634,18.0,28.0,16.0,200.0,0.042073
10800,20.7613,18.0,28.0,16.0,200.0,0.039216
10860,20.7593,18.0,28.0,16.0,200.0,0.034068
10920,20.7573,18.0,28.0,16.0,200.0,0.041812
10980,20.7554,18.0,28.0,16.0,200.0,0.039819
11040,20.7535,18.0,28.0,16.0,200.0,0.037019
11100,20.7516,18.0,28.0,16.0,200.0,0.042092
11160,20.7497,18.0,28.0,16.0,200.0,0.041952
11220,20.7479,18.0,28.0,16.0,200.0,0.03769
11280,20.7461,18.0,28.0,16.0,200.0,0.041601
11340,20.7444,18.0,28.0,16.0,200.0,0.04406
11400,20.7427,18.0,28.0,16.0,200.0,0.037149
11460,20.741,18.0,28.0,16.0,200.0,0.041524
11520,20.7393,18.0,28.0,16.0,200.0,0.040011
11580,20.7377,18.0,28.0,16.0,200.0,0.049064
11640,20.7361,18.0,28.0,16.0,200.0,0.032551
11700,20.7346,18.0,28.0,16.0,200.0,0.042781
11760,20.7331,18.0,28.0,16.0,200.0,0.038775
11820,20.7316,18.0,28.0,16.0,200.0,0.039599
11880,20.7301,18.0,28.0,16.0,200.0,0.047606
11940,20.7287,18.0,28.0,16.0,200.0,0.039966
12000,20.7273,18.0,28.0,16.0,200.0,0.048964
12060,20.726,18.0,28.0,16.0,200.0,0.038231
12120,20.7247,18.0,28.0,16.0,200.0,0.041402
12180,20.7234,18.0,28.0,16.0,200.0,0.038037
12240,20.7222,18.0,28.0,16.0,200.0,0.037237
12300,20.7209,18.0,28.0,16.0,200.0,0.04025
12360,20.7198,18.0,28.0,16.0,200.0,0.03887
12420,20.7186,18.0,28.0,16.0,200.0,0.04081
12480,20.7175,18.0,28.0,16.0,200.0,0.03158
12540,20.7164,18.0,28.0,16.0,200.0,0.04801
12600,20.7154,18.0,28.0,16.0,200.0,0.039332
12660,20.7144,18.0,28.0,16.0,200.0,0.046972
12720,20.7134,18.0,28.0,16.0,200.0,0.035972
12780,20.7125,18.0,28.0,16.0,200.0,0.04117
12840,20.7116,18.0,28.0,16.0,200.0,0.05266
12900,20.7107,18.0,28.0,16.0,200.0,0.036521
12960,20.7099,18.0,28.0,16.0,200.0,0.034019
13020,20.7091,18.0,28.0,16.0,200.0,0.037814
13080,20.7083,18.0,28.0,16.0,200.0,0.04189
13140,20.7076,18.0,28.0,16.0,200.0,0.042773
13200,20.7068,18.0,28.0,16.0,200.0,0.045161
13260,20.7062,18.0,28.0,16.0,200.0,0.038972
13320,20.7055,18.0,28.0,16.0,200.0,0.033591
13380,20.7049,18.0,28.0,16.0,200.0,0.03826
13440,20.7044,18.0,28.0,16.0,200.0,0.044961
13500,20.7039,18.0,28.0,16.0,200.0,0.041863
13560,20.7034,18.0,28.0,16.0,200.0,0.032172
13620,20.7029,18.0,28.0,16.0,200.0,0.03986
13680,20.7025,18.0,28.0,16.0,200.0,0.045593
13740,20.7021,18.0,28.0,16.0,200.0,0.048506
13800,20.7017,18.0,28.0,16.0,200.0,0.042247
13860,20.7014,18.0,28.0,16.0,200.0,0.041237
13920,20.7011,18.0,28.0,16.0,200.0,0.035039
13980,20.7008,18.0,28.0,16.0,200.0,0.036627
14040,20.7006,18.0,28.0,16.0,200.0,0.040188
14100,20.7004,18.0,28.0,16.0,200.0,0.042013
14160,20.7003,18.0,28.0,16.0,200.0,0.042321
14220,20.7002,18.0,28.0,16.0,200.0,0.038087
14280,20.7001,18.0,28.0,16.0,200.0,0.035392
14340,20.7,18.0,28.0,16.0,200.0,0.036889
14400,20.7,18.0,28.0,16.0,200.0,0.035372
14460,20.7,18.0,28.0,16.0,200.0,0.042574
14520,20.7001,18.0,28.0,16.0,200.0,0.030751
14580,20.7002,18.0,28.0,16.0,200.0,0.038667
14640,20.7003,18.0,28.0,16.0,200.0,0.0418
14700,20.7004,18.0,28.0,16.0,200.0,0.046088
14760,20.7006,18.0,28.0,16.0,200.0,0.040285
14820,20.7008,18.0,28.0,16.0,200.0,0.044005
14880,20.7011,18.0,28.0,16.0,200.0,0.038404
14940,20.7014,18.0,28.0,16.0,200.0,0.037022
15000,20.7017,18.0,28.0,16.0,200.0,0.037302
15060,20.7021,18.0,28.0,16.0,200.0,0.046109
15120,20.7025,18.0,28.0,16.0,200.0,0.043977
15180,20.7029,18.0,28.0,16.0,200.0,0.04195
15240,20.7034,18.0,28.0,16.0,200.0,0.053321
15300,20.7039,18.0,28.0,16.0,200.0,0.039871
15360,20.7044,18.0,28.0,16.0,200.0,0.042481
15420,20.7049,18.0,28.0,16.0,200.0,0.04123
15480,20.7055,18.0,28.0,16.0,200.0,0.039112
15540,20.7062,18.0,28.0,16.0,200.0,0.049265
15600,20.7068,18.0,28.0,16.0,200.0,0.046026
15660,20.7076,18.0,28.0,16.0,200.0,0.034402
15720,20.7083,18.0,28.0,16.0,200.0,0.038401
15780,20.7091,18.0,28.0,16.0,200.0,0.041713
15840,20.7099,18.0,28.0,16.0,200.0,0.043133
15900,20.7107,18.0,28.0,16.0,200.0,0.034606
15960,20.7116,18.0,28.0,16.0,200.0,0.030978
16020,20.7125,18.0,28.0,16.0,200.0,0.032375
16080,20.7134,18.0,28.0,16.0,200.0,0.039716
16140,20.7144,18.0,28.0,16.0,200.0,0.039587
16200,20.7154,18.0,28.0,16.0,200.0,0.041381
16260,20.7164,18.0,28.0,16.0,200.0,0.036921
16320,20.7175,18.0,28.0,16.0,200.0,0.035103
16380,20.7186,18.0,28.0,16.0,200.0,0.031908
16440,20.7198,18.0,28.0,16.0,200.0,0.041317
16500,20.7209,18.0,28.0,16.0,200.0,0.04148
16560,20.7222,18.0,28.0,16.0,200.0,0.043972
16620,20.7234,18.0,28.0,16.0,200.0,0.043163
16680,20.7247,18.0,28.0,16.0,200.0,0.039237
16740,20.726,18.0,28.0,16.0,200.0,0.045397
16800,20.7273,18.0,28.0,16.0,200.0,0.039455
16860,20.7287,18.0,28.0,16.0,200.0,0.037357
16920,20.7301,18.0,28.0,16.0,200.0,0.037918
16980,20.7316,18.0,28.0,16.0,200.0,0.037661
17040,20.7331,18.0,28.0,16.0,200.0,0.031337
17100,20.7346,18.0,28.0,16.0,200.0,0.040625
17160,20.7361,18.0,28.0,16.0,200.0,0.041
17220,20.7377,18.0,28.0,16.0,200.0,0.038551
17280,20.7393,18.0,28.0,16.0,200.0,0.037145
17340,20.741,18.0,28.0,16.0,200.0,0.041487
17400,20.7427,18.0,28.0,16.0,200.0,0.046867
17460,20.7444,18.0,28.0,16.0,200.0,0.040153
17520,20.7461,18.0,28.0,16.0,200.0,0.037969
17580,20.7479,18.0,28.0,16.0,200.0,0.037634
17640,20.7497,18.0,28.0,16.0,200.0,0.039721
17700,20.7516,18.0,28.0,16.0,200.0,0.034941
17760,20.7535,18.0,28.0,16.0,200.0,0.039499
17820,20.7554,18.0,28.0,16.0,200.0,0.040245
17880,20.7573,18.0,28.0,16.0,200.0,0.047379
17940,20.7593,18.0,28.0,16.0,200.0,0.043774
18000,20.7613,18.0,28.0,16.0,200.0,0.044136
18060,20.7634,18.0,28.0,16.0,200.0,0.037148
18120,20.7655,18.0,28.0,16.0,200.0,0.04268
18180,20.7676,18.0,28.0,16.0,200.0,0.035442
18240,20.7697,18.0,28.0,16.0,200.0,0.041248
18300,20.7719,18.0,28.0,16.0,200.0,0.041675
18360,20.7741,18.0,28.0,16.0,200.0,0.036934
18420,20.7764,18.0,28.0,16.0,200.0,0.047998
18480,20.7787,18.0,28.0,16.0,200.0,0.042269
18540,20.781,18.0,28.0,16.0,200.0,0.032389
18600,20.7833,18.0,28.0,16.0,200.0,0.042211
18660,20.7857,18.0,28.0,16.0,200.0,0.03837
18720,20.7881,18.0,28.0,16.0,200.0,0.040006
18780,20.7905,18.0,28.0,16.0,200.0,0.041863
18840,20.793,18.0,28.0,16.0,200.0,0.041562
18900,20.7955,18.0,28.0,16.0,200.0,0.031843
18960,20.7981,18.0,28.0,16.0,200.0,0.035367
19020,20.8006,18.0,28.0,16.0,200.0,0.04309
19080,20.8032,18.0,28.0,16.0,200.0,0.045205
19140,20.8059,18.0,28.0,16.0,200.0,0.047613
19200,20.8086,18.0,28.0,16.0,200.0,0.047213
19260,20.8113,18.0,28.0,16.0,200.0,0.031778
19320,20.814,18.0,28.0,16.0,200.0,0.043078
19380,20.8168,18.0,28.0,16.0,200.0,0.032335
19440,20.8196,18.0,28.0,16.0,200.0,0.046454
19500,20.8224,18.0,28.0,16.0,200.0,0.041013
19560,20.8252,18.0,28.0,16.0,200.0,0.035435
19620,20.8281,18.0,28.0,16.0,200.0,0.04804
19680,20.8311,18.0,28.0,16.0,200.0,0.042576
19740,20.834,18.0,28.0,16.0,200.0,0.032435
19800,20.837,18.0,28.0,16.0,200.0,0.041174
19860,20.84,18.0,28.0,16.0,200.0,0.037075
19920,20.8431,18.0,28.0,16.0,200.0,0.040445
19980,20.8462,18.0,28.0,16.0,200.0,0.038139
20040,20.8493,18.0,28.0,16.0,200.0,0.045494
20100,20.8524,18.0,28.0,16.0,200.0,0.034307
20160,20.8556,18.0,28.0,16.0,200.0,0.04127
20220,20.8588,18.0,28.0,16.0,200.0,0.047257
20280,20.8621,18.0,28.0,16.0,200.0,0.036692
20340,20.8653,18.0,28.0,16.0,200.0,0.040843
20400,20.8686,18.0,28.0,16.0,200.0,0.040808
20460,20.872,18.0,28.0,16.0,200.0,0.037241
20520,20.8753,18.0,28.0,16.0,200.0,0.042592
20580,20.8787,18.0,28.0,16.0,200.0,0.040388
20640,20.8822,18.0,28.0,16.0,200.0,0.036225
20700,20.8856,18.0,28.0,16.0,200.0,0.047048
20760,20.8891,18.0,28.0,16.0,200.0,0.043166
20820,20.8926,18.0,28.0,16.0,200.0,0.039332
20880,20.8962,18.0,28.0,16.0,200.0,0.037453
20940,20.8998,18.0,28.0,16.0,200.0,0.036863
21000,20.9034,18.0,28.0,16.0,200.0,0.044924
21060,20.907,18.0,28.0,16.0,200.0,0.039414
21120,20.9107,18.0,28.0,16.0,200.0,0.041838
21180,20.9144,18.0,28.0,16.0,200.0,0.039262
21240,20.9181,18.0,28.0,16.0,200.0,0.042466
21300,20.9219,18.0,28.0,16.0,200.0,0.039536
21360,20.9257,18.0,28.0,16.0,200.0,0.043055
21420,20.9295,18.0,28.0,16.0,200.0,0.039267
21480,20.9334,18.0,28.0,16.0,200.0,0.043318
21540,20.9372,18.0,28.0,16.0,200.0,0.04269
21600,20.9412,18.0,28.0,16.0,200.0,0.039534
21660,20.9451,18.0,28.0,16.0,200.0,0.036561
21720,20.9491,18.0,28.0,16.0,200.0,0.03624
21780,20.9531,18.0,28.0,16.0,200.0,0.037037
21840,20.9571,18.0,28.0,16.0,200.0,0.036062
21900,20.9612,18.0,28.0,16.0,200.0,0.043463
21960,20.9652,18.0,28.0,16.0,200.0,0.039814
22020,20.9694,18.0,28.0,16.0,200.0,0.04628
22080,20.9735,18.0,28.0,16.0,200.0,0.049117
22140,20.9777,18.0,28.0,16.0,200.0,0.040097
22200,20.9819,18.0,28.0,16.0,200.0,0.033808
22260,20.9861,18.0,28.0,16.0,200.0,0.038474
22320,20.9904,18.0,28.0,16.0,200.0,0.039699
22380,20.9947,18.0,28.0,16.0,200.0,0.034046
22440,20.999,18.0,28.0,16.0,200.0,0.038998
22500,21.0034,18.0,28.0,16.0,200.0,0.041148
22560,21.0077,18.0,28.0,16.0,200.0,0.038162
22620,21.0121,18.0,28.0,16.0,200.0,0.036926
22680,21.0166,18.0,28.0,16.0,200.0,0.036965
22740,21.021,18.0,28.0,16.0,200.0,0.047147
22800,21.0255,18.0,28.0,16.0,200.0,0.039361
22860,21.03,18.0,28.0,16.0,200.0,0.03668
22920,21.0346,18.0,28.0,16.0,200.0,0.038508
22980,21.0392,18.0,28.0,16.0,200.0,0.043817
23040,21.0438,18.0,28.0,16.0,200.0,0.037261
23100,21.0484,18.0,28.0,16.0,200.0,0.041927
23160,21.0531,18.0,28.0,16.0,200.0,0.042912
23220,21.0577,18.0,28.0,16.0,200.0,0.042996
23280,21.0625,18.0,28.0,16.0,200.0,0.045599
23340,21.0672,18.0,28.0,16.0,200.0,0.037798
23400,21.072,18.0,28.0,16.0,200.0,0.044531
23460,21.0768,18.0,28.0,16.0,200.0,0.036829
23520,21.0816,18.0,28.0,16.0,200.0,0.038414
23580,21.0864,18.0,28.0,16.0,200.0,0.044784
23640,21.0913,18.0,28.0,16.0,200.0,0.04329
23700,21.0962,18.0,28.0,16.0,200.0,0.040008
23760,21.1011,18.0,28.0,16.0,200.0,0.035234
23820,21.1061,18.0,28.0,16.0,200.0,0.042247
23880,21.1111,18.0,28.0,16.0,200.0,0.037479
23940,21.1161,18.0,28.0,16.0,200.0,0.036304
24000,21.1211,18.0,28.0,16.0,200.0,0.037407
24060,21.1262,18.0,28.0,16.0,200.0,0.040986
24120,21.1313,18.0,28.0,16.0,200.0,0.031516
24180,21.1364,18.0,28.0,16.0,200.0,0.041443
24240,21.1415,18.0,28.0,16.0,200.0,0.040696
24300,21.1467,18.0,28.0,16.0,200.0,0.037662
24360,21.1519,18.0,28.0,16.0,200.0,0.044148
24420,21.1571,18.0,28.0,16.0,200.0,0.042446
24480,21.1623,18.0,28.0,16.0,200.0,0.037575
24540,21.1676,18.0,28.0,16.0,200.0,0.03732
24600,21.1729,18.0,28.0,16.0,200.0,0.042781
24660,21.1782,18.0,28.0,16.0,200.0,0.033936
24720,21.1836,18.0,28.0,16.0,200.0,0.03867
24780,21.1889,18.0,28.0,16.0,200.0,0.037476
24840,21.1943,18.0,28.0,16.0,200.0,0.04028
24900,21.1997,18.0,28.0,16.0,200.0,0.040845
24960,21.2052,18.0,28.0,16.0,200.0,0.040147
25020,21.2107,18.0,28.0,16.0,200.0,0.044539
25080,21.2161,18.0,28.0,16.0,200.0,0.040912
25140,21.2217,18.0,28.0,16.0,200.0,0.03874
25200,21.2272,21.0,24.0,13.0,200.0,0.095157
25260,21.2328,21.0,24.0,13.0,200.0,0.102887
25320,21.2384,21.0,24.0,13.0,200.0,0.102113
25380,21.244,21.0,24.0,13.0,200.0,0.105803
25440,21.2496,21.0,24.0,13.0,200.0,0.09701
25500,21.2553,21.0,24.0,13.0,200.0,0.100106
25560,21.261,21.0,24.0,13.0,200.0,0.099765
25620,21.2667,21.0,24.0,13.0,200.0,0.09965
25680,21.2724,21.0,24.0,13.0,200.0,0.100042
25740,21.2782,21.0,24.0,13.0,200.0,0.093142
25800,21.2839,21.0,24.0,13.0,200.0,0.1033
25860,21.2897,21.0,24.0,13.0,200.0,0.102613
25920,21.2956,21.0,24.0,13.0,200.0,0.104522
25980,21.3014,21.0,24.0,13.0,200.0,0.108998
26040,21.3073,21.0,24.0,13.0,200.0,0.098724
26100,21.3132,21.0,24.0,13.0,200.0,0.099855
26160,21.3191,21.0,24.0,13.0,200.0,0.100039
26220,21.325,21.0,24.0,13.0,200.0,0.107769
26280,21.331,21.0,24.0,13.0,200.0,0.093075
26340,21.337,21.0,24.0,13.0,200.0,0.101943
26400,21.343,21.0,24.0,13.0,200.0,0.094117
26460,21.349,21.0,24.0,13.0,200.0,0.089674
26520,21.3551,21.0,24.0,13.0,200.0,0.091917
26580,21.3611,21.0,24.0,13.0,200.0,0.094473
26640,21.3672,21.0,24.0,13.0,200.0,0.104276
26700,21.3733,21.0,24.0,13.0,200.0,0.096527
26760,21.3795,21.0,24.0,13.0,200.0,0.09909
26820,21.3856,21.0,24.0,13.0,200.0,0.095346
26880,21.3918,21.0,24.0,13.0,200.0,0.102444
26940,21.398,21.0,24.0,13.0,200.0,0.095592
27000,21.4042,21.0,24.0,13.0,200.0,0.105271
27060,21.4105,21.0,24.0,13.0,200.0,0.096028
27120,21.4167,21.0,24.0,13.0,200.0,0.096941
27180,21.423,21.0,24.0,13.0,200.0,0.100491
27240,21.4293,21.0,24.0,13.0,200.0,0.100099
27300,21.4356,21.0,24.0,13.0,200.0,0.105699
27360,21.442,21.0,24.0,13.0,200.0,0.100482
27420,21.4484,21.0,24.0,13.0,200.0,0.095169
27480,21.4547,21.0,24.0,13.0,200.0,0.097759
27540,21.4611,21.0,24.0,13.0,200.0,0.097709
27600,21.4676,21.0,24.0,13.0,200.0,0.1029
27660,21.474,21.0,24.0,13.0,200.0,0.101535
27720,21.4805,21.0,24.0,13.0,200.0,0.099522
27780,21.487,21.0,24.0,13.0,200.0,0.103478
27840,21.4935,21.0,24.0,13.0,200.0,0.097886
27900,21.5,21.0,24.0,13.0,200.0,0.099455
27960,21.5065,21.0,24.0,13.0,200.0,0.100723
28020,21.5131,21.0,24.0,13.0,200.0,0.106113
28080,21.5196,21.0,24.0,13.0,200.0,0.099606
28140,21.5262,21.0,24.0,13.0,200.0,0.098597
28200,21.5329,21.0,24.0,13.0,200.0,0.095817
28260,21.5395,21.0,24.0,13.0,200.0,0.102744
28320,21.5461,21.0,24.0,13.0,200.0,0.097649
28380,21.5528,21.0,24.0,13.0,200.0,0.101375
28440,21.5595,21.0,24.0,13.0,200.0,0.092394
28500,21.5662,21.0,24.0,13.0,200.0,0.104173
28560,21.5729,21.0,24.0,13.0,200.0,0.094672
28620,21.5797,21.0,24.0,13.0,200.0,0.096891
28680,21.5864,21.0,24.0,13.0,200.0,0.104234
28740,21.5932,21.0,24.0,13.0,200.0,0.094662
