timestamp,outdoor_temp_c,people_heat_gain_w,lighting_heat_gain_w,equipment_heat_gain_w,discharge_air_temp_c,supply_airflow_m3_s,zone_temp_c
10140,22.0058,150.0,150.0,200.0,16.0,0.18,21.3759
10200,22.0048,150.0,150.0,200.0,16.0,0.18,21.3894
10260,22.0039,150.0,150.0,200.0,16.0,0.18,21.3313
10320,22.003,150.0,150.0,200.0,16.0,0.18,21.2882
10380,22.0023,150.0,150.0,200.0,16.0,0.18,21.3422
10440,22.0017,150.0,150.0,200.0,16.0,0.18,21.3334
10500,22.0012,150.0,150.0,200.0,16.0,0.18,21.3016
10560,22.0008,150.0,150.0,200.0,16.0,0.18,21.3393
10620,22.0004,150.0,150.0,200.0,16.0,0.18,21.3248
10680,22.0002,150.0,150.0,200.0,16.0,0.18,21.2702
10740,22.0,150.0,150.0,200.0,16.0,0.18,21.309
10800,22.0,150.0,150.0,200.0,16.0,0.18,21.281
10860,22.0,150.0,150.0,200.0,16.0,0.18,21.2359
10920,22.0002,150.0,150.0,200.0,16.0,0.18,21.2875
10980,22.0004,150.0,150.0,200.0,16.0,0.18,21.2661
11040,22.0008,150.0,150.0,200.0,16.0,0.18,21.2387
11100,22.0012,150.0,150.0,200.0,16.0,0.18,21.2704
11160,22.0017,150.0,150.0,200.0,16.0,0.18,21.263
11220,22.0023,150.0,150.0,200.0,16.0,0.18,21.2247
11280,22.003,150.0,150.0,200.0,16.0,0.18,21.2477
11340,22.0039,150.0,150.0,200.0,16.0,0.18,21.2599
11400,22.0048,150.0,150.0,200.0,16.0,0.18,21.2018
11460,22.0058,150.0,150.0,200.0,16.0,0.18,21.2284
11520,22.0069,150.0,150.0,200.0,16.0,0.18,21.2109
11580,22.008,150.0,150.0,200.0,16.0,0.18,21.2726
11640,22.0093,150.0,150.0,200.0,16.0,0.18,21.1427
11700,22.0107,150.0,150.0,200.0,16.0,0.18,21.2133
11760,22.0122,150.0,150.0,200.0,16.0,0.18,21.1772
11820,22.0137,150.0,150.0,200.0,16.0,0.18,21.1773
11880,22.0154,150.0,150.0,200.0,16.0,0.18,21.2314
11940,22.0172,150.0,150.0,200.0,16.0,0.18,21.1681
12000,22.019,150.0,150.0,200.0,16.0,0.18,21.2296
12060,22.021,150.0,150.0,200.0,16.0,0.18,21.1432
12120,22.023,150.0,150.0,200.0,16.0,0.18,21.1611
12180,22.0252,150.0,150.0,200.0,16.0,0.18,21.13
12240,22.0274,150.0,150.0,200.0,16.0,0.18,21.1182
12300,22.0297,150.0,150.0,200.0,16.0,0.18,21.135
12360,22.0321,150.0,150.0,200.0,16.0,0.18,21.1189
12420,22.0347,150.0,150.0,200.0,16.0,0.18,21.1277
12480,22.0373,150.0,150.0,200.0,16.0,0.18,21.0528
12540,22.04,150.0,150.0,200.0,16.0,0.18,21.1703
12600,22.0428,150.0,150.0,200.0,16.0,0.18,21.0996
12660,22.0457,150.0,150.0,200.0,16.0,0.18,21.1513
12720,22.0487,150.0,150.0,200.0,16.0,0.18,21.0632
12780,22.0517,150.0,150.0,200.0,16.0,0.18,21.0966
12840,22.0549,150.0,150.0,200.0,16.0,0.18,21.1773
12900,22.0582,150.0,150.0,200.0,16.0,0.18,21.0507
12960,22.0616,150.0,150.0,200.0,16.0,0.18,21.0265
13020,22.065,150.0,150.0,200.0,16.0,0.18,21.0495
13080,22.0686,150.0,150.0,200.0,16.0,0.18,21.0747
13140,22.0722,150.0,150.0,200.0,16.0,0.18,21.0759
13200,22.076,150.0,150.0,200.0,16.0,0.18,21.0885
13260,22.0798,150.0,150.0,200.0,16.0,0.18,21.0368
13320,22.0837,150.0,150.0,200.0,16.0,0.18,20.9911
13380,22.0877,150.0,150.0,200.0,16.0,0.18,21.0209
13440,22.0919,150.0,150.0,200.0,16.0,0.18,21.0659
13500,22.0961,150.0,150.0,200.0,16.0,0.18,21.0375
13560,22.1004,150.0,150.0,200.0,16.0,0.18,20.9597
13620,22.1048,150.0,150.0,200.0,16.0,0.18,21.0122
13680,22.1093,150.0,150.0,200.0,16.0,0.18,21.0501
13740,22.1138,150.0,150.0,200.0,16.0,0.18,21.0669
13800,22.1185,150.0,150.0,200.0,16.0,0.18,21.0149
13860,22.1233,150.0,150.0,200.0,16.0,0.18,21.0023
13920,22.1281,150.0,150.0,200.0,16.0,0.18,20.9508
13980,22.1331,150.0,150.0,200.0,16.0,0.18,20.9578
14040,22.1382,150.0,150.0,200.0,16.0,0.18,20.9796
14100,22.1433,150.0,150.0,200.0,16.0,0.18,20.9884
14160,22.1485,150.0,150.0,200.0,16.0,0.18,20.9859
14220,22.1538,150.0,150.0,200.0,16.0,0.18,20.9493
14280,22.1593,150.0,150.0,200.0,16.0,0.18,20.9243
14340,22.1648,150.0,150.0,200.0,16.0,0.18,20.9308
14400,22.1704,150.0,150.0,200.0,16.0,0.18,20.9146
14460,22.1761,150.0,150.0,200.0,16.0,0.18,20.964
14520,22.1818,150.0,150.0,200.0,16.0,0.18,20.8706
14580,22.1877,150.0,150.0,200.0,16.0,0.18,20.9254
14640,22.1937,150.0,150.0,200.0,16.0,0.18,20.9442
14700,22.1998,150.0,150.0,200.0,16.0,0.18,20.9718
14760,22.2059,150.0,150.0,200.0,16.0,0.18,20.9238
14820,22.2121,150.0,150.0,200.0,16.0,0.18,20.9472
14880,22.2185,150.0,150.0,200.0,16.0,0.18,20.9007
14940,22.2249,150.0,150.0,200.0,16.0,0.18,20.8859
15000,22.2314,150.0,150.0,200.0,16.0,0.18,20.8836
15060,22.238,150.0,150.0,200.0,16.0,0.18,20.9452
15120,22.2447,150.0,150.0,200.0,16.0,0.18,20.9249
15180,22.2515,150.0,150.0,200.0,16.0,0.18,20.9053
15240,22.2584,150.0,150.0,200.0,16.0,0.18,20.9863
15300,22.2653,150.0,150.0,200.0,16.0,0.18,20.8812
15360,22.2724,150.0,150.0,200.0,16.0,0.18,20.8966
15420,22.2796,150.0,150.0,200.0,16.0,0.18,20.883
15480,22.2868,150.0,150.0,200.0,16.0,0.18,20.8629
15540,22.2941,150.0,150.0,200.0,16.0,0.18,20.9349
15600,22.3015,150.0,150.0,200.0,16.0,0.18,20.9065
15660,22.309,150.0,150.0,200.0,16.0,0.18,20.8153
15720,22.3166,150.0,150.0,200.0,16.0,0.18,20.8412
15780,22.3243,150.0,150.0,200.0,16.0,0.18,20.8621
15840,22.3321,150.0,150.0,200.0,16.0,0.18,20.8687
15900,22.34,150.0,150.0,200.0,16.0,0.18,20.8009
15960,22.3479,150.0,150.0,200.0,16.0,0.18,20.7697
16020,22.356,150.0,150.0,200.0,16.0,0.18,20.7763
16080,22.3641,150.0,150.0,200.0,16.0,0.18,20.8275
16140,22.3723,150.0,150.0,200.0,16.0,0.18,20.8228
16200,22.3806,150.0,150.0,200.0,16.0,0.18,20.8324
16260,22.389,150.0,150.0,200.0,16.0,0.18,20.7952
16320,22.3975,150.0,150.0,200.0,16.0,0.18,20.7779
16380,22.406,150.0,150.0,200.0,16.0,0.18,20.7502
16440,22.4147,150.0,150.0,200.0,16.0,0.18,20.8171
16500,22.4234,150.0,150.0,200.0,16.0,0.18,20.8147
16560,22.4323,150.0,150.0,200.0,16.0,0.18,20.8298
16620,22.4412,150.0,150.0,200.0,16.0,0.18,20.8202
16680,22.4502,150.0,150.0,200.0,16.0,0.18,20.7872
16740,22.4593,150.0,150.0,200.0,16.0,0.18,20.8299
16800,22.4685,150.0,150.0,200.0,16.0,0.18,20.7819
16860,22.4777,150.0,150.0,200.0,16.0,0.18,20.7627
16920,22.4871,150.0,150.0,200.0,16.0,0.18,20.7635
16980,22.4965,150.0,150.0,200.0,16.0,0.18,20.7582
17040,22.506,150.0,150.0,200.0,16.0,0.18,20.7074
17100,22.5156,150.0,150.0,200.0,16.0,0.18,20.7738
17160,22.5253,150.0,150.0,200.0,16.0,0.18,20.7733
17220,22.5351,150.0,150.0,200.0,16.0,0.18,20.7517
17280,22.545,150.0,150.0,200.0,16.0,0.18,20.738
17340,22.5549,150.0,150.0,200.0,16.0,0.18,20.7674
17400,22.5649,150.0,150.0,200.0,16.0,0.18,20.8046
17460,22.5751,150.0,150.0,200.0,16.0,0.18,20.7511
17520,22.5853,150.0,150.0,200.0,16.0,0.18,20.7316
17580,22.5955,150.0,150.0,200.0,16.0,0.18,20.7261
17640,22.6059,150.0,150.0,200.0,16.0,0.18,20.7387
17700,22.6164,150.0,150.0,200.0,16.0,0.18,20.6999
17760,22.6269,150.0,150.0,200.0,16.0,0.18,20.7311
17820,22.6375,150.0,150.0,200.0,16.0,0.18,20.7338
17880,22.6482,150.0,150.0,200.0,16.0,0.18,20.7844
17940,22.659,150.0,150.0,200.0,16.0,0.18,20.7545
18000,22.6699,150.0,150.0,200.0,16.0,0.18,20.7544
18060,22.6808,150.0,150.0,200.0,16.0,0.18,20.6992
18120,22.6919,150.0,150.0,200.0,16.0,0.18,20.7379
18180,22.703,150.0,150.0,200.0,16.0,0.18,20.6809
18240,22.7142,150.0,150.0,200.0,16.0,0.18,20.7217
18300,22.7254,150.0,150.0,200.0,16.0,0.18,20.7223
18360,22.7368,150.0,150.0,200.0,16.0,0.18,20.6841
18420,22.7482,150.0,150.0,200.0,16.0,0.18,20.7645
18480,22.7598,150.0,150.0,200.0,16.0,0.18,20.7189
18540,22.7714,150.0,150.0,200.0,16.0,0.18,20.6423
18600,22.783,150.0,150.0,200.0,16.0,0.18,20.7135
18660,22.7948,150.0,150.0,200.0,16.0,0.18,20.6822
18720,22.8066,150.0,150.0,200.0,16.0,0.18,20.692
18780,22.8186,150.0,150.0,200.0,16.0,0.18,20.7035
18840,22.8306,150.0,150.0,200.0,16.0,0.18,20.6989
18900,22.8427,150.0,150.0,200.0,16.0,0.18,20.6237
18960,22.8548,150.0,150.0,200.0,16.0,0.18,20.6478
19020,22.8671,150.0,150.0,200.0,16.0,0.18,20.7034
19080,22.8794,150.0,150.0,200.0,16.0,0.18,20.7171
19140,22.8918,150.0,150.0,200.0,16.0,0.18,20.7329
19200,22.9042,150.0,150.0,200.0,16.0,0.18,20.7277
19260,22.9168,150.0,150.0,200.0,16.0,0.18,20.6098
19320,22.9294,150.0,150.0,200.0,16.0,0.18,20.6924
19380,22.9421,150.0,150.0,200.0,16.0,0.18,20.6098
19440,22.9549,150.0,150.0,200.0,16.0,0.18,20.7136
19500,22.9678,150.0,150.0,200.0,16.0,0.18,20.6708
19560,22.9807,150.0,150.0,200.0,16.0,0.18,20.627
19620,22.9937,150.0,150.0,200.0,16.0,0.18,20.7196
19680,23.0068,150.0,150.0,200.0,16.0,0.18,20.6766
19740,23.02,150.0,150.0,200.0,16.0,0.18,20.5987
19800,23.0332,150.0,150.0,200.0,16.0,0.18,20.6624
19860,23.0466,150.0,150.0,200.0,16.0,0.18,20.6298
19920,23.0599,150.0,150.0,200.0,16.0,0.18,20.6533
19980,23.0734,150.0,150.0,200.0,16.0,0.18,20.6342
20040,23.087,150.0,150.0,200.0,16.0,0.18,20.6877
20100,23.1006,150.0,150.0,200.0,16.0,0.18,20.6021
20160,23.1143,150.0,150.0,200.0,16.0,0.18,20.6526
20220,23.128,150.0,150.0,200.0,16.0,0.18,20.6959
20280,23.1419,150.0,150.0,200.0,16.0,0.18,20.6151
20340,23.1558,150.0,150.0,200.0,16.0,0.18,20.6446
20400,23.1698,150.0,150.0,200.0,16.0,0.18,20.6428
20460,23.1838,150.0,150.0,200.0,16.0,0.18,20.6146
20520,23.198,150.0,150.0,200.0,16.0,0.18,20.6532
20580,23.2122,150.0,150.0,200.0,16.0,0.18,20.6352
20640,23.2265,150.0,150.0,200.0,16.0,0.18,20.6026
20700,23.2408,150.0,150.0,200.0,16.0,0.18,20.6824
20760,23.2552,150.0,150.0,200.0,16.0,0.18,20.6519
20820,23.2697,150.0,150.0,200.0,16.0,0.18,20.6219
20880,23.2843,150.0,150.0,200.0,16.0,0.18,20.6065
20940,23.2989,150.0,150.0,200.0,16.0,0.18,20.6008
21000,23.3136,150.0,150.0,200.0,16.0,0.18,20.6601
21060,23.3284,150.0,150.0,200.0,16.0,0.18,20.6176
21120,23.3432,150.0,150.0,200.0,16.0,0.18,20.6346
21180,23.3581,150.0,150.0,200.0,16.0,0.18,20.6141
21240,23.3731,150.0,150.0,200.0,16.0,0.18,20.6371
21300,23.3882,150.0,150.0,200.0,16.0,0.18,20.6141
21360,23.4033,150.0,150.0,200.0,16.0,0.18,20.6394
21420,23.4185,150.0,150.0,200.0,16.0,0.18,20.61
21480,23.4337,150.0,150.0,200.0,16.0,0.18,20.6394
21540,23.4491,150.0,150.0,200.0,16.0,0.18,20.6338
21600,23.4645,150.0,150.0,200.0,16.0,0.18,20.6092
21660,23.4799,150.0,150.0,200.0,16.0,0.18,20.5861
21720,23.4955,150.0,150.0,200.0,16.0,0.18,20.5828
21780,23.511,150.0,150.0,200.0,16.0,0.18,20.588
21840,23.5267,150.0,150.0,200.0,16.0,0.18,20.5799
21900,23.5424,150.0,150.0,200.0,16.0,0.18,20.6347
21960,23.5582,150.0,150.0,200.0,16.0,0.18,20.6066
22020,23.5741,150.0,150.0,200.0,16.0,0.18,20.6544
22080,23.59,150.0,150.0,200.0,16.0,0.18,20.6751
22140,23.606,150.0,150.0,200.0,16.0,0.18,20.6068
22200,23.622,150.0,150.0,200.0,16.0,0.18,20.559
22260,23.6382,150.0,150.0,200.0,16.0,0.18,20.5935
22320,23.6543,150.0,150.0,200.0,16.0,0.18,20.6021
22380,23.6706,150.0,150.0,200.0,16.0,0.18,20.5593
22440,23.6869,150.0,150.0,200.0,16.0,0.18,20.5959
22500,23.7033,150.0,150.0,200.0,16.0,0.18,20.6116
22560,23.7197,150.0,150.0,200.0,16.0,0.18,20.5889
22620,23.7362,150.0,150.0,200.0,16.0,0.18,20.5792
22680,23.7528,150.0,150.0,200.0,16.0,0.18,20.5792
22740,23.7694,150.0,150.0,200.0,16.0,0.18,20.6553
22800,23.7861,150.0,150.0,200.0,16.0,0.18,20.5966
22860,23.8028,150.0,150.0,200.0,16.0,0.18,20.5763
22920,23.8196,150.0,150.0,200.0,16.0,0.18,20.5898
22980,23.8365,150.0,150.0,200.0,16.0,0.18,20.6294
23040,23.8534,150.0,150.0,200.0,16.0,0.18,20.5801
23100,23.8704,150.0,150.0,200.0,16.0,0.18,20.615
23160,23.8874,150.0,150.0,200.0,16.0,0.18,20.6223
23220,23.9045,150.0,150.0,200.0,16.0,0.18,20.6229
23280,23.9217,150.0,150.0,200.0,16.0,0.18,20.6424
23340,23.9389,150.0,150.0,200.0,16.0,0.18,20.5839
23400,23.9562,150.0,150.0,200.0,16.0,0.18,20.6344
23460,23.9735,150.0,150.0,200.0,16.0,0.18,20.5767
23520,23.9909,150.0,150.0,200.0,16.0,0.18,20.5887
23580,24.0084,150.0,150.0,200.0,16.0,0.18,20.6366
23640,24.0259,150.0,150.0,200.0,16.0,0.18,20.6256
23700,24.0435,150.0,150.0,200.0,16.0,0.18,20.6012
23760,24.0611,150.0,150.0,200.0,16.0,0.18,20.5656
23820,24.0788,150.0,150.0,200.0,16.0,0.18,20.6185
23880,24.0965,150.0,150.0,200.0,16.0,0.18,20.583
23940,24.1143,150.0,150.0,200.0,16.0,0.18,20.5745
24000,24.1321,150.0,150.0,200.0,16.0,0.18,20.5831
24060,24.15,150.0,150.0,200.0,16.0,0.18,20.6104
24120,24.168,150.0,150.0,200.0,16.0,0.18,20.5398
24180,24.186,150.0,150.0,200.0,16.0,0.18,20.6147
24240,24.204,150.0,150.0,200.0,16.0,0.18,20.6095
24300,24.2221,150.0,150.0,200.0,16.0,0.18,20.5873
24360,24.2403,150.0,150.0,200.0,16.0,0.18,20.6365
24420,24.2585,150.0,150.0,200.0,16.0,0.18,20.6243
24480,24.2768,150.0,150.0,200.0,16.0,0.18,20.5883
24540,24.2951,150.0,150.0,200.0,16.0,0.18,20.587
24600,24.3135,150.0,150.0,200.0,16.0,0.18,20.6287
24660,24.3319,150.0,150.0,200.0,16.0,0.18,20.563
24720,24.3504,150.0,150.0,200.0,16.0,0.18,20.5992
24780,24.3689,150.0,150.0,200.0,16.0,0.18,20.591
24840,24.3875,150.0,150.0,200.0,16.0,0.18,20.6128
24900,24.4061,150.0,150.0,200.0,16.0,0.18,20.6179
24960,24.4248,150.0,150.0,200.0,16.0,0.18,20.6135
25020,24.4435,150.0,150.0,200.0,16.0,0.18,20.6473
25080,24.4623,150.0,150.0,200.0,16.0,0.18,20.621
25140,24.4811,150.0,150.0,200.0,16.0,0.18,20.6056
25200,24.5,150.0,150.0,200.0,16.0,0.18,20.5797
