timestamp,supply_air_temp_setpoint_c,outdoor_air_temp_c,return_air_temp_c,fan_command_pct,most_open_vav_damper_pct,minimum_outdoor_air_damper_pct,supply_air_temp_c
13860,16.0,22.123,21.049,40.0,40.019,15.0,16.400
13920,16.0,22.128,21.051,40.0,40.015,15.0,16.397
13980,16.0,22.133,21.053,40.0,40.012,15.0,16.394
14040,16.0,22.138,21.055,40.0,40.009,15.0,16.390
14100,16.0,22.143,21.057,40.0,40.006,15.0,16.386
14160,16.0,22.149,21.059,40.0,40.004,15.0,16.381
14220,16.0,22.154,21.062,40.0,40.002,15.0,16.376
14280,16.0,22.159,21.064,40.0,40.001,15.0,16.371
14340,16.0,22.165,21.066,40.0,40.000,15.0,16.366
14400,16.0,22.170,21.068,40.0,40.000,15.0,16.360
14460,16.0,22.176,21.070,40.0,40.000,15.0,16.354
14520,16.0,22.182,21.073,40.0,40.001,15.0,16.347
14580,16.0,22.188,21.075,40.0,40.002,15.0,16.340
14640,16.0,22.194,21.077,40.0,40.004,15.0,16.333
14700,16.0,22.200,21.080,40.0,40.006,15.0,16.326
14760,16.0,22.206,21.082,40.0,40.009,15.0,16.318
14820,16.0,22.212,21.085,40.0,40.012,15.0,16.310
14880,16.0,22.218,21.087,40.0,40.015,15.0,16.302
14940,16.0,22.225,21.090,40.0,40.019,15.0,16.294
15000,16.0,22.231,21.093,40.0,40.024,15.0,16.285
15060,16.0,22.238,21.095,40.0,40.029,15.0,16.276
15120,16.0,22.245,21.098,40.0,40.034,15.0,16.267
15180,16.0,22.252,21.101,40.0,40.040,15.0,16.258
15240,16.0,22.258,21.103,40.0,40.047,15.0,16.248
15300,16.0,22.265,21.106,40.0,40.054,15.0,16.238
15360,16.0,22.272,21.109,40.0,40.061,15.0,16.229
15420,16.0,22.280,21.112,40.0,40.069,15.0,16.218
15480,16.0,22.287,21.115,40.0,40.077,15.0,16.208
15540,16.0,22.294,21.118,40.0,40.086,15.0,16.198
15600,16.0,22.302,21.121,40.0,40.095,15.0,16.187
15660,16.0,22.309,21.124,40.0,40.105,15.0,16.176
15720,16.0,22.317,21.127,40.0,40.115,15.0,16.166
15780,16.0,22.324,21.130,40.0,40.126,15.0,16.155
15840,16.0,22.332,21.133,40.0,40.137,15.0,16.144
15900,16.0,22.340,21.136,40.0,40.149,15.0,16.133
15960,16.0,22.348,21.139,40.0,40.161,15.0,16.122
16020,16.0,22.356,21.142,40.0,40.173,15.0,16.110
16080,16.0,22.364,21.146,40.0,40.186,15.0,16.099
16140,16.0,22.372,21.149,40.0,40.200,15.0,16.088
16200,16.0,22.381,21.152,40.0,40.214,15.0,16.077
16260,16.0,22.389,21.156,40.0,40.228,15.0,16.065
16320,16.0,22.397,21.159,40.0,40.243,15.0,16.054
16380,16.0,22.406,21.162,40.0,40.259,15.0,16.043
16440,16.0,22.415,21.166,40.0,40.275,15.0,16.032
16500,16.0,22.423,21.169,40.0,40.291,15.0,16.020
16560,16.0,22.432,21.173,40.0,40.308,15.0,16.009
16620,16.0,22.441,21.176,40.0,40.325,15.0,15.998
16680,16.0,22.450,21.180,40.0,40.343,15.0,15.987
16740,16.0,22.459,21.184,40.0,40.361,15.0,15.977
16800,16.0,22.468,21.187,40.0,40.380,15.0,15.966
16860,16.0,22.478,21.191,40.0,40.399,15.0,15.955
16920,16.0,22.487,21.195,40.0,40.419,15.0,15.945
16980,16.0,22.497,21.199,40.0,40.439,15.0,15.934
17040,16.0,22.506,21.202,40.0,40.459,15.0,15.924
17100,16.0,22.516,21.206,40.0,40.480,15.0,15.914
17160,16.0,22.525,21.210,40.0,40.502,15.0,15.904
17220,16.0,22.535,21.214,40.0,40.524,15.0,15.895
17280,16.0,22.545,21.218,40.0,40.546,15.0,15.885
17340,16.0,22.555,21.222,40.0,40.569,15.0,15.876
17400,16.0,22.565,21.226,40.0,40.593,15.0,15.867
17460,16.0,22.575,21.230,40.0,40.616,15.0,15.859
17520,16.0,22.585,21.234,40.0,40.641,15.0,15.850
17580,16.0,22.596,21.238,40.0,40.666,15.0,15.842
17640,16.0,22.606,21.242,40.0,40.691,15.0,15.834
17700,16.0,22.616,21.247,40.0,40.716,15.0,15.826
17760,16.0,22.627,21.251,40.0,40.743,15.0,15.819
17820,16.0,22.638,21.255,40.0,40.769,15.0,15.812
17880,16.0,22.648,21.259,40.0,40.796,15.0,15.805
17940,16.0,22.659,21.264,40.0,40.824,15.0,15.798
18000,16.0,22.670,21.268,40.0,40.852,15.0,15.792
18060,16.0,22.681,21.272,40.0,40.880,15.0,15.786
18120,16.0,22.692,21.277,40.0,40.909,15.0,15.780
18180,16.0,22.703,21.281,40.0,40.939,15.0,15.775
18240,16.0,22.714,21.286,40.0,40.968,15.0,15.770
18300,16.0,22.725,21.290,40.0,40.999,15.0,15.766
18360,16.0,22.737,21.295,40.0,41.030,15.0,15.761
18420,16.0,22.748,21.299,40.0,41.061,15.0,15.757
18480,16.0,22.760,21.304,40.0,41.092,15.0,15.754
18540,16.0,22.771,21.309,40.0,41.125,15.0,15.751
18600,16.0,22.783,21.313,40.0,41.157,15.0,15.748
18660,16.0,22.795,21.318,40.0,41.190,15.0,15.745
18720,16.0,22.807,21.323,40.0,41.224,15.0,15.743
18780,16.0,22.819,21.327,40.0,41.258,15.0,15.741
18840,16.0,22.831,21.332,40.0,41.292,15.0,15.740
18900,16.0,22.843,21.337,40.0,41.327,15.0,15.739
18960,16.0,22.855,21.342,40.0,41.362,15.0,15.738
19020,16.0,22.867,21.347,40.0,41.398,15.0,15.738
19080,16.0,22.879,21.352,40.0,41.434,15.0,15.738
19140,16.0,22.892,21.357,40.0,41.471,15.0,15.739
19200,16.0,22.904,21.362,40.0,41.508,15.0,15.739
19260,16.0,22.917,21.367,40.0,41.545,15.0,15.740
19320,16.0,22.929,21.372,40.0,41.583,15.0,15.742
19380,16.0,22.942,21.377,40.0,41.622,15.0,15.744
19440,16.0,22.955,21.382,40.0,41.660,15.0,15.746
19500,16.0,22.968,21.387,40.0,41.700,15.0,15.749
19560,16.0,22.981,21.392,40.0,41.740,15.0,15.751
19620,16.0,22.994,21.397,40.0,41.780,15.0,15.755
19680,16.0,23.007,21.403,40.0,41.820,15.0,15.758
19740,16.0,23.020,21.408,40.0,41.861,15.0,15.762
19800,16.0,23.033,21.413,40.0,41.903,15.0,15.766
19860,16.0,23.047,21.419,40.0,41.945,15.0,15.771
19920,16.0,23.060,21.424,40.0,41.987,15.0,15.776
19980,16.0,23.073,21.429,40.0,42.030,15.0,15.781
20040,16.0,23.087,21.435,40.0,42.073,15.0,15.786
20100,16.0,23.101,21.440,40.0,42.117,15.0,15.792
20160,16.0,23.114,21.446,40.0,42.161,15.0,15.798
20220,16.0,23.128,21.451,40.0,42.206,15.0,15.804
20280,16.0,23.142,21.457,40.0,42.251,15.0,15.811
20340,16.0,23.156,21.462,40.0,42.296,15.0,15.818
20400,16.0,23.170,21.468,40.0,42.342,15.0,15.825
20460,16.0,23.184,21.474,40.0,42.389,15.0,15.832
20520,16.0,23.198,21.479,40.0,42.435,15.0,15.839
20580,16.0,23.212,21.485,40.0,42.483,15.0,15.847
20640,16.0,23.226,21.491,40.0,42.530,15.0,15.855
20700,16.0,23.241,21.496,40.0,42.578,15.0,15.863
20760,16.0,23.255,21.502,40.0,42.627,15.0,15.871
20820,16.0,23.270,21.508,40.0,42.676,15.0,15.880
20880,16.0,23.284,21.514,40.0,42.725,15.0,15.888
20940,16.0,23.299,21.520,40.0,42.775,15.0,15.897
21000,16.0,23.314,21.525,40.0,42.825,15.0,15.906
21060,16.0,23.328,21.531,40.0,42.875,15.0,15.915
21120,16.0,23.343,21.537,40.0,42.926,15.0,15.924
21180,16.0,23.358,21.543,40.0,42.978,15.0,15.934
21240,16.0,23.373,21.549,40.0,43.030,15.0,15.943
21300,16.0,23.388,21.555,40.0,43.082,15.0,15.952
21360,16.0,23.403,21.561,40.0,43.135,15.0,15.962
21420,16.0,23.418,21.567,40.0,43.188,15.0,15.971
21480,16.0,23.434,21.573,40.0,43.241,15.0,15.981
21540,16.0,23.449,21.580,40.0,43.295,15.0,15.990
21600,16.0,23.464,21.586,40.0,43.349,15.0,16.000
21660,16.0,23.480,21.592,40.0,43.404,15.0,16.010
21720,16.0,23.495,21.598,40.0,43.459,15.0,16.019
21780,16.0,23.511,21.604,40.0,43.515,15.0,16.029
21840,16.0,23.527,21.611,40.0,43.571,15.0,16.038
21900,16.0,23.542,21.617,40.0,43.627,15.0,16.048
21960,16.0,23.558,21.623,40.0,43.684,15.0,16.057
22020,16.0,23.574,21.630,40.0,43.741,15.0,16.066
22080,16.0,23.590,21.636,40.0,43.799,15.0,16.076
22140,16.0,23.606,21.642,40.0,43.857,15.0,16.085
22200,16.0,23.622,21.649,40.0,43.915,15.0,16.094
22260,16.0,23.638,21.655,40.0,43.974,15.0,16.103
22320,16.0,23.654,21.662,40.0,44.033,15.0,16.112
22380,16.0,23.671,21.668,40.0,44.093,15.0,16.120
22440,16.0,23.687,21.675,40.0,44.153,15.0,16.129
22500,16.0,23.703,21.681,40.0,44.213,15.0,16.137
22560,16.0,23.720,21.688,40.0,44.274,15.0,16.145
22620,16.0,23.736,21.694,40.0,44.335,15.0,16.153
22680,16.0,23.753,21.701,40.0,44.397,15.0,16.161
22740,16.0,23.769,21.708,40.0,44.459,15.0,16.168
22800,16.0,23.786,21.714,40.0,44.521,15.0,16.175
22860,16.0,23.803,21.721,40.0,44.584,15.0,16.182
22920,16.0,23.820,21.728,40.0,44.647,15.0,16.189
22980,16.0,23.836,21.735,40.0,44.711,15.0,16.196
23040,16.0,23.853,21.741,40.0,44.775,15.0,16.202
23100,16.0,23.870,21.748,40.0,44.839,15.0,16.208
23160,16.0,23.887,21.755,40.0,44.904,15.0,16.214
23220,16.0,23.905,21.762,40.0,44.969,15.0,16.219
23280,16.0,23.922,21.769,40.0,45.034,15.0,16.224
23340,16.0,23.939,21.776,40.0,45.100,15.0,16.229
23400,16.0,23.956,21.782,40.0,45.166,15.0,16.234
23460,16.0,23.974,21.789,40.0,45.233,15.0,16.238
23520,16.0,23.991,21.796,40.0,45.300,15.0,16.242
23580,16.0,24.008,21.803,40.0,45.367,15.0,16.245
23640,16.0,24.026,21.810,40.0,45.435,15.0,16.249
23700,16.0,24.043,21.817,40.0,45.503,15.0,16.251
23760,16.0,24.061,21.824,40.0,45.571,15.0,16.254
23820,16.0,24.079,21.832,40.0,45.640,15.0,16.256
23880,16.0,24.096,21.839,40.0,45.709,15.0,16.258
23940,16.0,24.114,21.846,40.0,45.779,15.0,16.260
24000,16.0,24.132,21.853,40.0,45.849,15.0,16.261
24060,16.0,24.150,21.860,40.0,45.919,15.0,16.261
24120,16.0,24.168,21.867,40.0,45.990,15.0,16.262
24180,16.0,24.186,21.874,40.0,46.061,15.0,16.262
24240,16.0,24.204,21.882,40.0,46.132,15.0,16.262
24300,16.0,24.222,21.889,40.0,46.204,15.0,16.261
24360,16.0,24.240,21.896,40.0,46.276,15.0,16.260
24420,16.0,24.259,21.903,40.0,46.349,15.0,16.259
24480,16.0,24.277,21.911,40.0,46.421,15.0,16.257
24540,16.0,24.295,21.918,40.0,46.495,15.0,16.255
24600,16.0,24.314,21.925,40.0,46.568,15.0,16.252
24660,16.0,24.332,21.933,40.0,46.642,15.0,16.249
24720,16.0,24.350,21.940,40.0,46.716,15.0,16.246
24780,16.0,24.369,21.948,40.0,46.791,15.0,16.243
24840,16.0,24.388,21.955,40.0,46.866,15.0,16.239
24900,16.0,24.406,21.962,40.0,46.941,15.0,16.234
24960,16.0,24.425,21.970,40.0,47.017,15.0,16.230
25020,16.0,24.444,21.977,40.0,47.092,15.0,16.225
25080,16.0,24.462,21.985,40.0,47.169,15.0,16.220
25140,16.0,24.481,21.992,40.0,47.245,15.0,16.214
25200,16.0,24.500,22.000,40.0,47.322,15.0,16.208
25260,16.0,24.519,22.008,40.0,47.400,15.0,16.202
25320,16.0,24.538,22.015,40.0,47.477,15.0,16.195
25380,16.0,24.557,22.023,40.0,47.555,15.0,16.188
25440,16.0,24.576,22.030,40.0,47.634,15.0,16.181
25500,16.0,24.595,22.038,40.0,47.712,15.0,16.174
25560,16.0,24.614,22.046,40.0,47.791,15.0,16.166
25620,16.0,24.633,22.053,40.0,47.870,15.0,16.158
25680,16.0,24.653,22.061,40.0,47.950,15.0,16.150
25740,16.0,24.672,22.069,40.0,48.030,15.0,16.141
25800,16.0,24.691,22.077,40.0,48.110,15.0,16.133
25860,16.0,24.711,22.084,40.0,48.191,15.0,16.124
25920,16.0,24.730,22.092,40.0,48.272,15.0,16.115
25980,16.0,24.750,22.100,40.0,48.353,15.0,16.105
26040,16.0,24.769,22.108,40.0,48.434,15.0,16.096
26100,16.0,24.789,22.115,40.0,48.516,15.0,16.086
26160,16.0,24.808,22.123,40.0,48.599,15.0,16.076
26220,16.0,24.828,22.131,40.0,48.681,15.0,16.066
26280,16.0,24.847,22.139,40.0,48.764,15.0,16.055
26340,16.0,24.867,22.147,40.0,48.847,15.0,16.045
26400,16.0,24.887,22.155,40.0,48.930,15.0,16.034
26460,16.0,24.907,22.163,40.0,49.014,15.0,16.023
26520,16.0,24.927,22.171,40.0,49.098,15.0,16.013
26580,16.0,24.946,22.179,40.0,49.182,15.0,16.002
26640,16.0,24.966,22.187,40.0,49.267,15.0,15.991
26700,16.0,24.986,22.195,40.0,49.352,15.0,15.980
